Global_Company_Key,Ticker,Fiscal_Year,Stock_Price_Close_Fiscal_Year,Shares_Outstanding,Total_Assets,Total_Liabilities,Revenue,EBITDA,EBIT,Net_Income,Operating_Income,Dividends
8762,PG,2010,59.98,2843.5,128172.0,66733.0,78938.0,19129.0,16021.0,12736.0,19129.0,5458.0
8762,PG,2011,63.57,2765.7,138354.0,70353.0,82559.0,18656.0,15818.0,11797.0,18656.0,5767.0
8762,PG,2012,61.25,2748.0,132244.0,68209.0,83680.0,19124.0,15920.0,10756.0,19124.0,6139.0
8762,PG,2013,76.99,2742.327,139263.0,70554.0,84167.0,19011.0,16029.0,11312.0,19011.0,6519.0
8762,PG,2014,78.59,2710.806,144266.0,74290.0,83062.0,19433.0,16292.0,11643.0,19433.0,6911.0
8762,PG,2015,78.24,2714.571,129495.0,66445.0,76279.0,17904.0,14770.0,7036.0,17904.0,7287.0
8762,PG,2016,84.67,2668.074,127136.0,69153.0,65299.0,17439.0,14361.0,10508.0,17439.0,7436.0
8762,PG,2017,87.15,2553.297,120406.0,64628.0,65058.0,17505.0,14685.0,15326.0,17505.0,7236.0
8762,PG,2018,78.06,2498.093,118310.0,65427.0,66832.0,17615.0,14781.0,9750.0,17615.0,7322.0
8762,PG,2019,109.65,2504.751,115095.0,67516.0,67684.0,17390.0,14566.0,3897.0,17390.0,7519.0
8762,PG,2020,119.57,2479.746,120700.0,73822.0,70950.0,19488.0,16475.0,13027.0,19488.0,7814.0
8762,PG,2021,134.93,2429.706,119307.0,72653.0,76118.0,21031.0,18296.0,14306.0,21031.0,8291.0
8762,PG,2022,143.79,2393.877,117208.0,70354.0,80187.0,20869.0,18062.0,14742.0,20869.0,8795.0
8762,PG,2023,151.74,2362.12,120829.0,73764.0,82006.0,21168.0,18454.0,14653.0,21168.0,9024.0
8762,PG,2024,164.92,2357.051,122370.0,71811.0,84039.0,23185.0,20289.0,14879.0,23185.0,9337.0
8762,PG,2025,159.32,2341.994,125231.0,72947.0,84284.0,23619.0,20772.0,15974.0,23619.0,9898.0
