Fiscal_Year,Net_Profit_Margin,EBIT_Margin,EBITDA_Margin,Return_On_Assets_ROA,Return_On_Equity_ROE,Cash_Flow_Margin,Asset_Turnover,Net_Income_To_Total_Assets,Debt_Ratio,Cash_Debt_Coverage,Market_To_Debt,Market_To_Assets,Liabilities_To_Assets,Dividend_Yield,Earnings_Yield,Market_Capitalization_USD,Book_Value_Per_Share_USD,Dividends_Per_Share_USD,Revenue,EBIT,EBITDA,Net_Income,Total_Assets,Total_Liabilities,Stock_Price_Close_USD,Shares_Outstanding
2010,16.13,20.3,24.23,12.5,20.73,24.23,0.6159,0.0994,0.5207,0.2866,2.5558,1.3307,0.5207,3.2,7.47,170.55,21.61,1.92,78938.0,16021.0,19129.0,12736.0,128172.0,66733.0,59.98,2843.5
2011,14.29,19.16,22.6,11.43,17.35,22.6,0.5967,0.0853,0.5085,0.2652,2.499,1.2708,0.5085,3.28,6.71,175.82,24.59,2.09,82559.0,15818.0,18656.0,11797.0,138354.0,70353.0,63.57,2765.7
2012,12.85,19.02,22.85,12.04,16.8,22.85,0.6328,0.0813,0.5158,0.2804,2.4676,1.2728,0.5158,3.65,6.39,168.32,23.3,2.23,83680.0,15920.0,19124.0,10756.0,132244.0,68209.0,61.25,2748.0
2013,13.44,19.04,22.59,11.51,16.46,22.59,0.6044,0.0812,0.5066,0.2695,2.9925,1.5161,0.5066,3.09,5.36,211.13,25.05,2.38,84167.0,16029.0,19011.0,11312.0,139263.0,70554.0,76.99,2742.327
2014,14.02,19.61,23.4,11.29,16.64,23.4,0.5758,0.0807,0.515,0.2616,2.8677,1.4767,0.515,3.24,5.47,213.04,25.81,2.55,83062.0,16292.0,19433.0,11643.0,144266.0,74290.0,78.59,2710.806
2015,9.22,19.36,23.47,11.41,11.16,23.47,0.589,0.0543,0.5131,0.2695,3.1964,1.6401,0.5131,3.43,3.31,212.39,23.23,2.68,76279.0,14770.0,17904.0,7036.0,129495.0,66445.0,78.24,2714.571
2016,16.09,21.99,26.71,11.3,18.12,26.71,0.5136,0.0827,0.5439,0.2522,3.2668,1.7769,0.5439,3.29,4.65,225.91,21.73,2.79,65299.0,14361.0,17439.0,10508.0,127136.0,69153.0,84.67,2668.074
2017,23.56,22.57,26.91,12.2,27.48,26.91,0.5403,0.1273,0.5368,0.2709,3.4431,1.8481,0.5368,3.25,6.89,222.52,21.85,2.83,65058.0,14685.0,17505.0,15326.0,120406.0,64628.0,87.15,2553.297
2018,14.59,22.12,26.36,12.49,18.44,26.36,0.5649,0.0824,0.553,0.2692,2.9804,1.6482,0.553,3.75,5.0,195.0,21.17,2.93,66832.0,14781.0,17615.0,9750.0,118310.0,65427.0,78.06,2498.093
2019,5.76,21.52,25.69,12.66,8.19,25.69,0.5881,0.0339,0.5866,0.2576,4.0679,2.3863,0.5866,2.74,1.42,274.65,19.0,3.0,67684.0,14566.0,17390.0,3897.0,115095.0,67516.0,109.65,2504.751
2020,18.36,23.22,27.47,13.65,27.79,27.47,0.5878,0.1079,0.6116,0.264,4.0165,2.4565,0.6116,2.64,4.39,296.5,18.9,3.15,70950.0,16475.0,19488.0,13027.0,120700.0,73822.0,119.57,2479.746
2021,18.79,24.04,27.63,15.34,30.66,27.63,0.638,0.1199,0.609,0.2895,4.5124,2.7479,0.609,2.53,4.36,327.84,19.2,3.41,76118.0,18296.0,21031.0,14306.0,119307.0,72653.0,134.93,2429.706
2022,18.38,22.52,26.03,15.41,31.46,26.03,0.6841,0.1258,0.6002,0.2966,4.8926,2.9368,0.6002,2.56,4.28,344.22,19.57,3.67,80187.0,18062.0,20869.0,14742.0,117208.0,70354.0,143.79,2393.877
2023,17.87,22.5,25.81,15.27,31.13,25.81,0.6787,0.1213,0.6105,0.287,4.8591,2.9664,0.6105,2.52,4.09,358.43,19.92,3.82,82006.0,18454.0,21168.0,14653.0,120829.0,73764.0,151.74,2362.12
2024,17.7,24.14,27.59,16.58,29.43,27.59,0.6868,0.1216,0.5868,0.3229,5.4132,3.1766,0.5868,2.4,3.83,388.72,21.45,3.96,84039.0,20289.0,23185.0,14879.0,122370.0,71811.0,164.92,2357.051
2025,18.95,24.65,28.02,16.59,30.55,28.02,0.673,0.1276,0.5825,0.3238,5.115,2.9795,0.5825,2.65,4.28,373.13,22.32,4.23,84284.0,20772.0,23619.0,15974.0,125231.0,72947.0,159.32,2341.994
