Data_Date,Revenue_Million_USD,PPE_Million_USD,Employees_Thousands,Salary medium,Salary_total,SG&A_Expense_USD,Salary_ratio,
6/30/2010,78938,19244,127,,8612965482,24998000000,,
6/30/2011,82559,21293,129,,8948898010,25973000000,,
6/30/2012,83680,20377,126,,8846223247,25675000000,,
6/30/2013,84167,21666,121,,8980940805,26066000000,,
6/30/2014,83062,22304,118,,8506500711,24689000000,,
6/30/2015,76279,20268,110,,8009665115,23247000000,,
6/30/2016,65299,19385,105,,6459207292,18747000000,,
6/30/2017,65058,19893,95,,6350330698,18431000000,,
6/30/2018,66832,20600,92,,6409248095,18602000000,,
6/30/2019,67684,21271,97,,6501931019,18871000000,,
6/30/2020,70950,21542,99,,6835451724,19839000000,,
6/30/2021,76118,22494,101,69671,7036771000,20848000000,0.337527389,
6/30/2022,80187,21955,106,65918,6987308000,20150000000,0.346764665,
6/30/2023,82006,22690,107,64024,6850568000,20952000000,0.326964872,
6/30/2024,84039,23027,108,69934,7552872000,23150000000,0.32625797,
6/30/2025,84284,24822,109,79510,8666590000,22498000000,0.385216019,0.344546183
