GVKEY,Data_Date,Fiscal_Year,Company_Name,Revenue_Million_USD,SG&A_Expense_Million_USD,PPE_Million_USD,Employees_Thousands,Advertising_Expense_Million_USD
008762,2010-06-30,2010,PROCTER & GAMBLE CO,78938.0,24998.0,19244.0,127.0,
008762,2011-06-30,2011,PROCTER & GAMBLE CO,82559.0,25973.0,21293.0,129.0,
008762,2012-06-30,2012,PROCTER & GAMBLE CO,83680.0,25675.0,20377.0,126.0,
008762,2013-06-30,2013,PROCTER & GAMBLE CO,84167.0,26066.0,21666.0,121.0,
008762,2014-06-30,2014,PROCTER & GAMBLE CO,83062.0,24689.0,22304.0,118.0,
008762,2015-06-30,2015,PROCTER & GAMBLE CO,76279.0,23247.0,20268.0,110.0,
008762,2016-06-30,2016,PROCTER & GAMBLE CO,65299.0,18747.0,19385.0,105.0,
008762,2017-06-30,2017,PROCTER & GAMBLE CO,65058.0,18431.0,19893.0,95.0,
008762,2018-06-30,2018,PROCTER & GAMBLE CO,66832.0,18602.0,20600.0,92.0,
008762,2019-06-30,2019,PROCTER & GAMBLE CO,67684.0,18871.0,21271.0,97.0,
008762,2020-06-30,2020,PROCTER & GAMBLE CO,70950.0,19839.0,21542.0,99.0,
008762,2021-06-30,2021,PROCTER & GAMBLE CO,76118.0,20848.0,22494.0,101.0,
008762,2022-06-30,2022,PROCTER & GAMBLE CO,80187.0,20150.0,21955.0,106.0,9600
008762,2023-06-30,2023,PROCTER & GAMBLE CO,82006.0,20952.0,22690.0,107.0,8000
008762,2024-06-30,2024,PROCTER & GAMBLE CO,84039.0,23150.0,23027.0,108.0,7900
008762,2025-06-30,2025,PROCTER & GAMBLE CO,84284.0,22498.0,24822.0,109.0,
