Global_Company_Key,Ticker,Fiscal_Year,Stock_Price_Close_Fiscal_Year,Shares_Outstanding,Total_Assets,Total_Liabilities,Revenue,EBITDA,EBIT,Net_Income,Operating_Income,Dividends
10846,UL,2010,31.4,2809.755,54624.492,34617.494,58731.248,9107.842,7790.23,5631.364,9107.842,1685.163
10846,UL,2011,34.37,2820.365,61637.318,42280.305,60281.639,9693.426,8358.505,5516.12,9693.426,3226.385
10846,UL,2012,38.3,2831.791,60874.488,40151.37,67675.826,10796.696,9215.694,5907.328,10796.696,3554.946
10846,UL,2013,40.23,2840.011,62712.363,42298.774,68615.286,11943.637,10357.674,6671.792,11943.637,4107.52
10846,UL,2014,39.04,2836.75,58117.473,40857.817,58612.404,11020.38,9656.597,6257.427,11020.38,3867.48
10846,UL,2015,43.32,2838.854,56790.399,39326.955,57848.065,9648.222,8160.539,5330.683,9648.222,3696.404
10846,UL,2016,41.06,2839.69,59543.881,41626.585,55622.758,9776.428,8231.615,5470.157,9776.428,3798.72
10846,UL,2017,56.32,2738.882,72474.627,55178.576,64576.173,12496.869,10647.885,7276.917,12496.869,4707.815
10846,UL,2018,53.8,2614.235,68071.031,53997.95,58369.169,16113.289,14351.292,10749.443,16113.289,4672.327
10846,UL,2019,57.46,2616.827,72724.171,57141.542,58331.056,13386.516,11162.35,6312.278,13386.516,4738.977
10846,UL,2020,60.36,2621.977,81555.211,60274.121,61141.999,13723.32,11290.851,6727.259,13723.32,5183.16
10846,UL,2021,53.79,2566.268,85407.475,62949.841,59645.91,12945.04,10959.27,6879.683,12945.04,5070.198
10846,UL,2022,50.35,2532.05,83170.59,59977.815,64202.553,12392.067,10348.631,8167.328,12392.067,4655.441
10846,UL,2023,48.48,2500.416,83194.925,60243.534,65883.005,12721.419,10977.184,7170.375,12721.419,4782.829
10846,UL,2024,56.7,2477.947,82566.18,59214.704,62906.629,13392.803,11573.759,5946.836,13392.803,4472.55
10846,UL,2025,65.4,2181.005,82741.795,62092.451,59296.858,13792.452,11841.056,11117.794,13792.452,13156.076
