Date,Monthly_Return
2010-01-29,-0.04326
2010-02-26,-0.026481
2010-03-31,-0.005435
2010-04-30,0.028006
2010-05-28,-0.092478
2010-06-30,-0.011465
2010-07-30,0.071081
2010-08-31,-0.062697
2010-09-30,0.095633
2010-10-29,-0.002749
2010-11-30,-0.026478
2010-12-31,0.104435
2011-01-31,-0.060557
2011-02-28,0.033647
2011-03-31,0.030976
2011-04-29,0.063684
2011-05-31,0.010712
2011-06-30,-0.006137
2011-07-29,-0.010188
2011-08-31,0.062346
2011-09-30,-0.075578
2011-10-31,0.078872
2011-11-30,0.008517
2011-12-30,-0.003271
2012-01-31,-0.033711
2012-02-29,0.011624
2012-03-30,0.017863
2012-04-30,0.038427
2012-05-31,-0.070519
2012-06-29,0.068081
2012-07-31,0.061666
2012-08-31,0.010159
2012-09-28,0.017837
2012-10-31,0.021084
2012-11-30,0.0369
2012-12-31,0.009648
2013-01-31,0.050878
2013-02-28,-0.012689
2013-03-28,0.059975
2013-04-30,0.025568
2013-05-31,-0.022175
2013-06-28,-0.037134
2013-07-31,0.00445
2013-08-30,-0.051575
2013-09-30,0.010477
2013-10-31,0.0521
2013-11-29,0.006844
2013-12-31,0.017284
2014-01-31,-0.062864
2014-02-28,0.072142
2014-03-31,0.042652
2014-04-30,0.045816
2014-05-30,0.013943
2014-06-30,0.007561
2014-07-31,-0.045906
2014-08-29,0.028087
2014-09-30,-0.049024
2014-10-31,-0.039857
2014-11-28,0.056518
2014-12-31,-0.039393
2015-01-30,0.086216
2015-02-27,0.010696
2015-03-31,-0.05441
2015-04-30,0.058236
2015-05-29,0.007531
2015-06-30,-0.026954
2015-07-31,0.055168
2015-08-31,-0.103503
2015-09-30,0.01166
2015-10-30,0.098418
2015-11-30,-0.035996
2015-12-31,0.006301
2016-01-29,0.02667
2016-02-29,-0.025308
2016-03-31,0.055114
2016-04-29,0.000992
2016-05-31,0.015604
2016-06-30,0.05158
2016-07-29,-0.02296
2016-08-31,6.6e-05
2016-09-30,0.020233
2016-10-31,-0.113405
2016-11-30,-0.040557
2016-12-30,0.018009
2017-01-31,0.010074
2017-02-28,0.163315
2017-03-31,0.039174
2017-04-28,0.040535
2017-05-31,0.090822
2017-06-30,-0.026969
2017-07-31,0.05303
2017-08-31,0.028672
2017-09-29,-0.004295
2017-10-31,-0.022602
2017-11-30,0.004443
2017-12-29,-0.020184
2018-01-31,0.020419
2018-02-28,-0.078357
2018-03-29,0.076744
2018-04-30,0.007379
2018-05-31,-0.003772
2018-06-29,0.0
2018-07-31,0.031295
2018-08-31,0.005492
2018-09-28,-0.03341
2018-10-31,-0.036202
2018-11-30,0.033196
2018-12-31,-0.037576
2019-01-31,0.006699
2019-02-28,0.020384
2019-03-29,0.084351
2019-04-30,0.053361
2019-05-31,0.009442
2019-06-28,0.017403
2019-07-31,-0.029853
2019-08-30,0.058525
2019-09-30,-0.04875
2019-10-31,0.007681
2019-11-29,-0.010314
2019-12-31,-0.038998
2020-01-31,0.045478
2020-02-28,-0.090151
2020-03-31,-0.062303
2020-04-30,0.025707
2020-05-29,0.050598
2020-06-30,0.015356
2020-07-31,0.102041
2020-08-31,-0.00712
2020-09-30,0.035247
2020-10-30,-0.070777
2020-11-30,0.074433
2020-12-31,-0.011464
2021-01-29,-0.033466
2021-02-26,-0.098836
2021-03-31,0.072416
2021-04-30,0.051764
2021-05-28,0.030073
2021-06-30,-0.024512
2021-07-30,-0.016581
2021-08-31,-0.023412
2021-09-30,-0.026221
2021-10-29,-0.011804
2021-11-30,-0.041667
2021-12-31,0.057817
2022-01-31,-0.044618
2022-02-28,-0.012312
2022-03-31,-0.093495
2022-04-29,0.015142
2022-05-31,0.054594
2022-06-30,-0.051728
2022-07-29,0.06175
2022-08-31,-0.058276
2022-09-30,-0.034149
2022-10-31,0.038093
2022-11-30,0.116262
2022-12-30,-0.000596
2023-01-31,0.014896
2023-02-28,-0.013955
2023-03-31,0.040056
2023-04-28,0.069324
2023-05-31,-0.092199
2023-06-30,0.043853
2023-07-31,0.030693
2023-08-31,-0.041604
2023-09-29,-0.031752
2023-10-31,-0.041498
2023-11-30,0.016978
2023-12-29,0.016352
2024-01-31,0.004332
2024-02-29,0.015161
2024-03-28,0.024913
2024-04-30,0.033074
2024-05-31,0.064718
2024-06-28,0.004384
2024-07-31,0.116567
2024-08-30,0.062985
2024-09-30,0.002624
2024-10-31,-0.062346
2024-11-29,-0.00976
2024-12-31,-0.052473
